Tue Jan 17 13:12:14 JST 2023,,,,,,,,,,,,,,,,,,
WSCE-5000_SEED(0),,,,,,,,,,,,,,,W-SCE,SCE,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],maxWTime,minWTime,sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility,utility,W-SCEÇ≈è„è∏Ç∑ÇÈå¯óp,
162,0,334,528,4512,4512,0,5374,2600,9164,0.345106752,0.463541525,0,0,0.191351722,-2196.432682,-2570.457123,374.0244403,
163,318,366,2312,1076,2312,318,4072,2600,7882,0.221013261,0.511656158,0,0,0.267330581,-1697.214831,-1559.671505,-137.5433261,
164,0,127,774,1026,1026,0,1927,3400,6477,0.373247552,0.278958742,0,0,0.347793706,-1310.871414,-1242.959066,-67.91234803,
165,7,346,567,3026,3026,7,3946,2600,7776,0.275600626,0.408505008,0,0,0.315894365,-1195.948005,-1682.776193,486.8281881,
166,0,795,2878,1144,2878,0,4817,3800,9827,0.867662559,0.088999205,0,0,0.043338236,-4393.000082,-4547.740723,154.7406404,
167,0,130,1224,3495,3495,0,4849,3000,9039,0.4670115,0.123957723,0,0,0.409030777,-1206.849365,-2116.234007,909.3846425,
168,19,367,663,2473,2473,19,3522,2600,7322,0.425753262,0.525948575,0,0,0.048298163,-2748.445591,-3125.505885,377.0602938,
169,26,104,1032,3365,3365,26,4527,2600,8347,0.380386361,0.263854679,0,0,0.35575896,-1220.152053,-1473.462603,253.3105495,
170,0,386,2757,6529,6529,0,9672,3400,14262,0.285021044,0.284427793,0,0,0.430551163,-912.7094903,-515.4367072,-397.2727832,
171,0,314,1861,6744,6744,0,8919,2600,12739,0.551980755,0.26923769,0,0,0.178781554,-4417.43155,-5246.792545,829.3609949,
172,0,427,2509,1615,2509,0,4551,3400,9181,0.813521401,0.155103964,0,0,0.031374636,-4150.97041,-3469.884647,-681.0857637,
173,6,940,2902,10410,10410,6,14258,3000,18458,0.131778975,0.27185995,0,0,0.596361075,3510.056142,1647.280094,1862.776047,
174,295,183,656,3895,3895,183,5029,3400,9639,0.058562524,0.483109048,0,0,0.458328427,-235.7665793,-919.9733592,684.2067799,
175,0,73,1496,6342,6342,0,7911,3000,12111,0.26810108,0.316202073,0,0,0.415696847,-433.204456,-520.9460076,87.74155162,
176,301,654,2473,7584,7584,301,11012,3400,15662,0.055068939,0.495812166,0,0,0.449118895,978.7523892,1153.42896,-174.6765706,
177,17,109,1041,3756,3756,17,4923,3000,9103,0.231233413,0.38458647,0,0,0.384180117,-855.6720434,-1191.440956,335.7689126,
178,315,892,2882,1703,2882,315,5792,2600,9592,0.064279567,0.734225333,0,0,0.2014951,-1764.055198,-2643.497492,879.4422941,
179,323,436,2732,2328,2732,323,5819,3000,10029,0.445048523,0.214529058,0,0,0.340422419,-2413.246921,-1894.538718,-518.7082035,
180,33,389,2807,10013,10013,33,13242,3400,17822,0.390256219,0.09880852,0,0,0.510935262,-404.5879041,-200.1426568,-204.4452474,
181,327,744,2670,2086,2670,327,5827,2600,9637,0.439637109,0.388721804,0,0,0.171641087,-3170.287057,-3655.828506,485.541449,
182,0,345,995,1113,1113,0,2453,4200,7813,0.653518333,0.145894964,0,0,0.200586703,-1992.58632,-1597.181271,-395.4050486,
183,65,134,1182,4445,4445,65,5826,2600,9636,0.300280646,0.13751697,0,0,0.562202384,355.4672795,-9.207534631,364.6748142,
184,0,305,591,4247,4247,0,5143,3000,9333,0.238982416,0.296110115,0,0,0.464907469,-142.9548935,-1375.621673,1232.666779,
185,333,0,695,3232,3232,0,4260,2600,8040,0.113038677,0.156409068,0,0,0.730552255,1472.936549,511.2488753,961.6876734,
186,64,151,363,2314,2314,64,2892,2200,6302,0.020996797,0.482007382,0,0,0.496995821,-2.898380721,267.1530385,-270.0514192,
187,0,299,367,3279,3279,0,3945,3000,8115,0.315752037,0.240640256,0,0,0.443607706,-512.972887,-976.0533615,463.0804745,
