Mon Jan 16 15:04:15 JST 2023,,,,,,,,,,,,,,,,,,,
SCE-5000_SEED(0),,,,,,,,,,,,,,,,,,,
VisitorId,sumWaitingTime,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],movingTime,travelTime,,,,,,,,,,,,
278,8826,1044,3073,2755,1954,4200,14196,8826,0,,,,,,,,,,
279,2849,0,0,1473,1376,3000,7029,2849,0,,,,,,,,,,
280,6695,216,265,2712,3502,3000,10885,,-6695,,,,,,,,,,
281,7411,146,1026,2707,3532,5000,13601,,-7411,,,,,,,,,,
282,7277,0,2253,1297,3727,3000,11497,,-7277,,,,,,,,,,
283,23058,87,1592,10080,11299,3800,28088,,-23058,,,,,,,,,,
284,17189,155,1776,3169,12089,3000,21399,,-17189,,,,,,,,,,
285,14676,141,724,6192,7619,3000,18936,,-14676,,,,,,,,,,
286,7223,0,331,4330,2562,3000,11443,,-7223,,,,,,,,,,
287,4310,153,1702,718,1737,2600,8130,,-4310,,,,,,,,,,
288,11788,151,1063,6396,4178,3800,16768,,-11788,,,,,,,,,,
289,3897,0,1104,1092,1701,3000,8057,,-3897,,,,,,,,,,
290,3459,0,432,597,2430,3000,7639,,-3459,,,,,,,,,,
291,10734,328,518,6138,3750,3000,14964,,-10734,,,,,,,,,,
292,6395,318,2766,2016,1295,4200,11785,,-6395,,,,,,,,,,
293,7328,1027,2708,2230,1363,3000,11488,,-7328,,,,,,,,,,
294,12246,560,3472,839,7375,3800,17226,,-12246,,,,,,,,,,
295,4372,0,130,1483,2759,3000,8572,,-4372,,,,,,,,,,
296,4797,0,117,3765,915,3000,8977,,-4797,,,,,,,,,,
297,2946,329,571,645,1401,3000,7136,,-2946,,,,,,,,,,
298,5921,0,1174,2432,2315,2600,9681,,-5921,,,,,,,,,,
299,9507,211,454,4241,4601,5000,15737,,-9507,,,,,,,,,,
300,5553,10,1365,880,3298,3400,10143,,-5553,,,,,,,,,,
301,9456,0,1352,4623,3481,3000,13666,,-9456,,,,,,,,,,
302,7441,0,1192,3340,2909,2600,11191,,-7441,,,,,,,,,,
303,3087,0,0,1471,1616,2600,6867,,-3087,,,,,,,,,,
304,4027,0,1377,1119,1531,3000,8207,,-4027,,,,,,,,,,
305,9275,35,2341,1673,5226,3400,13885,,-9275,,,,,,,,,,
306,16254,772,878,2937,11667,3000,20474,,-16254,,,,,,,,,,
307,13257,774,2940,2273,7270,3800,18277,,-13257,,,,,,,,,,
308,8242,773,710,2747,4012,3000,12452,,-8242,,,,,,,,,,
309,5596,0,41,1987,3568,3000,9806,,-5596,,,,,,,,,,
310,4989,0,497,463,4029,3000,9179,,-4989,,,,,,,,,,
311,4480,198,455,1051,2776,3000,8720,,-4480,,,,,,,,,,
