Tue Jan 17 00:24:37 JST 2023,,,,,,,,,,,,,
SCE-5000_SEED(0),,,,,,,,,,,,,
VisitorId,waitingTime[0],waitingTime[1],waitingTime[2],waitingTime[3],sumWaitingTime,movingTime,travelTime,preference[0](WT),preference[1](MT),preference[2](TT),preference[3](smooth),preference[4](bias),utility
162,101,901,882,4525,6409,2600,10199,0.191351722,0.463541525,0.345106752,0,0,-5951.324922
163,0,133,654,3222,4009,3000,8219,0.267330581,0.511656158,0.221013261,0,0,-4423.204767
164,0,228,468,1364,2060,3400,6610,0.347793706,0.278958742,0.373247552,0,0,-4132.081078
165,104,523,1794,1971,4392,2600,8222,0.315894365,0.408505008,0.275600626,0,0,-4715.509424
166,106,982,572,3397,5057,3400,9667,0.043338236,0.088999205,0.867662559,0,0,-8909.452712
167,0,1472,1584,3760,6816,3800,11806,0.409030777,0.123957723,0.4670115,0,0,-8772.530892
168,13,1108,637,2673,4431,2600,8231,0.048298163,0.525948575,0.425753262,0,0,-5085.850557
169,93,11,1759,3040,4903,2600,8723,0.35575896,0.263854679,0.380386361,0,0,-5748.418575
170,0,663,1740,6246,8649,2600,12439,0.430551163,0.284427793,0.285021044,0,0,-8008.72604
171,0,661,2335,7752,10748,2600,14568,0.178781554,0.26923769,0.551980755,0,0,-10662.81779
172,287,56,2090,1415,3848,2600,7678,0.031374636,0.155103964,0.813521401,0,0,-6770.217218
173,100,931,853,5964,7848,3000,12048,0.596361075,0.27185995,0.131778975,0,0,-7083.494659
174,0,533,2702,2273,5508,3800,10518,0.458328427,0.483109048,0.058562524,0,0,-4976.247993
175,0,1548,661,7767,9976,3400,14576,0.415696847,0.316202073,0.26810108,0,0,-9129.920135
176,285,1375,7115,8253,17028,3000,21278,0.449118895,0.495812166,0.055068939,0,0,-10306.78993
177,0,143,563,821,1527,3000,5707,0.384180117,0.38458647,0.231233413,0,0,-3060.051535
178,105,1045,3068,2790,7008,3800,12008,0.2014951,0.734225333,0.064279567,0,0,-4974.002966
179,279,276,2346,1686,4587,2600,8397,0.340422419,0.214529058,0.445048523,0,0,-5856.365636
180,0,295,499,3038,3832,2600,7612,0.510935262,0.09880852,0.390256219,0,0,-5185.43641
181,292,1489,1168,3685,6634,3400,11244,0.171641087,0.388721804,0.439637109,0,0,-7403.600755
182,0,629,629,620,1878,3400,6438,0.200586703,0.145894964,0.653518333,0,0,-5080.095734
183,68,16,1232,2873,4189,2600,7999,0.562202384,0.13751697,0.300280646,0,0,-5114.554796
184,0,1630,1179,1863,4672,3800,9662,0.464907469,0.296110115,0.238982416,0,0,-5606.314237
185,306,0,1781,1303,3390,2600,7170,0.730552255,0.156409068,0.113038677,0,0,-3693.723035
186,70,31,185,2834,3120,2200,6530,0.496995821,0.482007382,0.020996797,0,0,-2748.152288
187,0,322,1487,1727,3536,2600,7306,0.443607706,0.240640256,0.315752037,0,0,-4501.145901
188,0,279,543,1540,2362,2600,6142,0.257359978,0.445836075,0.296803947,0,0,-3590.027906
189,105,1229,2307,2259,5900,3400,10520,0.50778083,0.382834399,0.109384771,0,0,-5448.271645
190,131,1041,570,3445,5187,3400,9797,0.385453018,0.242116111,0.372430871,0,0,-6471.244827
191,0,769,584,2666,4019,3000,8199,0.369736066,0.311613074,0.31865086,0,0,-5033.42687
192,0,719,726,2881,4326,3000,8506,0.473077402,0.352111963,0.174810636,0,0,-4589.807994
193,0,673,831,618,2122,3400,6692,0.100180188,0.106064479,0.793755332,0,0,-5885.012274
194,120,1206,4066,2822,8214,4200,13634,0.301638466,0.454857059,0.243504475,0,0,-7707.998019
195,123,826,670,1295,2914,3400,7504,0.084279841,0.119872136,0.795848023,0,0,-6625.200282
196,0,730,623,1439,2792,3400,7362,0.305271273,0.292034773,0.402693953,0,0,-4809.868509
197,0,396,1939,3301,5636,2600,9446,0.022770377,0.386565284,0.590664339,0,0,-6712.818931
198,125,1029,6310,3218,10682,3400,15272,0.583157867,0.367163188,0.049678945,0,0,-8236.344023
199,0,83,1301,1749,3133,3000,7343,0.05693537,0.157846657,0.785217973,0,0,-6417.77406
200,107,1030,2701,2236,6074,2600,9864,0.745503252,0.100580159,0.153916589,0,0,-6307.928402
201,0,419,710,815,1944,3000,6104,0.353513857,0.430910532,0.21557561,0,0,-3295.836061
202,0,224,432,2861,3517,3400,8087,0.095682262,0.697938802,0.206378936,0,0,-4378.492897
203,115,1029,4330,3448,8922,3000,13112,0.269371201,0.077864326,0.652764473,0,0,-11195.97061
204,117,449,2931,2253,5750,3800,10760,0.198330246,0.4098214,0.391848354,0,0,-6914.008522
205,127,1139,7013,3890,12169,5400,18779,0.236891964,0.319629,0.443479036,0,0,-12936.82773
206,0,1980,1907,1062,4949,4200,10319,0.030620818,0.266318497,0.703060685,0,0,-8524.963324
207,202,1263,2721,10915,15101,3000,19351,0.569925878,0.355736039,0.074338083,0,0,-11112.17505
208,249,1172,2562,3808,7791,3000,11991,0.204085704,0.513459344,0.282454951,0,0,-6517.327076
209,253,1174,1057,1987,4471,2600,8231,0.178788643,0.339484851,0.481726505,0,0,-5647.115503
210,121,737,2810,743,4411,2600,8201,0.426788681,0.132067992,0.441143327,0,0,-5843.758078
211,0,921,2928,2494,6343,3000,10553,0.320129713,0.132181226,0.547689061,0,0,-8206.889108
212,0,345,457,1525,2327,3400,6877,0.42953074,0.059722315,0.510746945,0,0,-4714.980642
213,0,427,1697,555,2679,3400,7239,0.363515139,0.561248355,0.075236506,0,0,-3426.738531
214,52,442,1717,11986,14197,3400,18797,0.232138797,0.550225866,0.217635337,0,0,-9257.333872
215,284,1169,580,2828,4861,2600,8631,0.192621432,0.436288279,0.371090288,0,0,-5273.562588
216,103,1043,3036,2533,6715,3400,11335,0.43422203,0.297081694,0.268696276,0,0,-6971.55098
217,278,669,2448,2277,5672,3800,10672,0.532119259,0.205365364,0.262515378,0,0,-6600.132926
218,281,432,538,4260,5511,3000,9711,0.74341946,0.011711436,0.244869104,0,0,-6510.042821
219,166,1648,2758,1178,5750,4200,11130,0.11966613,0.181448396,0.698885473,0,0,-9228.758831
220,286,422,562,4494,5764,3000,9964,0.477603608,0.445503772,0.07689262,0,0,-4855.576581
221,0,1197,1072,2764,5033,2600,8853,0.564161419,0.257770092,0.178068489,0,0,-5086.066993
222,295,1249,2879,1148,5571,3800,10541,0.200060802,0.468848646,0.331090552,0,0,-6386.189092
223,0,439,698,3420,4557,2600,8357,0.30988576,0.667220313,0.022893928,0,0,-3338.246773
224,309,1034,2285,4711,8339,6200,15709,0.062799689,0.516298822,0.420901489,0,0,-10336.6808
225,170,1229,1035,2927,5361,3000,9541,0.417916381,0.483217368,0.098866251,0,0,-4633.384721
226,340,1304,579,2023,4246,3400,8796,0.113185526,0.483700483,0.403113991,0,0,-5670.95805
227,234,907,2200,1732,5073,3000,9313,0.312404636,0.261262632,0.426332732,0,0,-6339.053348
228,155,880,2977,2953,6965,3400,11565,0.113521491,0.725627205,0.160851305,0,0,-5118.055016
229,0,446,836,2785,4067,3000,8277,0.320725601,0.629661958,0.049612441,0,0,-3604.019065
230,0,0,430,574,1004,2600,4804,0.437204248,0.405050617,0.157745135,0,0,-2249.892297
231,0,201,2643,1649,4493,2600,8293,0.690839358,0.238070019,0.071090623,0,0,-4312.477823
232,339,1785,2710,11776,16610,3000,20860,0.420073174,0.157456904,0.422469922,0,0,-16262.50871
233,343,1149,9127,1958,12577,3400,17187,0.617979021,0.204729803,0.177291176,0,0,-11515.50692
234,154,487,2537,2234,5412,3400,10002,0.096627747,0.163937123,0.73943513,0,0,-8476.165754
235,0,43,1436,2860,4339,2600,8109,0.486723119,0.350398604,0.162878276,0,0,-4343.707929
236,336,1202,6419,3831,11788,4600,17618,0.222231352,0.468632128,0.30913652,0,0,-10221.73818
237,0,332,315,1122,1769,3000,5959,0.174672997,0.44549807,0.379828933,0,0,-3908.891353
238,207,120,1934,669,2930,2600,6720,0.154482998,0.383877051,0.461639951,0,0,-4552.935986
239,339,520,1350,3801,6010,4600,11810,0.418481888,0.28824129,0.293276822,0,0,-7304.585347
240,200,281,2991,10239,13711,3400,18291,0.638097988,0.285912268,0.075989744,0,0,-11110.99163
241,0,435,699,2615,3749,2600,7519,0.06161684,0.523250749,0.415132411,0,0,-4712.834081
242,145,1029,906,2776,4856,3000,9046,0.399226717,0.378074285,0.222698998,0,0,-5087.402928
243,0,1918,1303,2710,5931,3800,10951,0.464882697,0.194202917,0.340914386,0,0,-7228.543799
244,413,1325,9649,3646,15033,3400,19663,0.095526611,0.384139764,0.520333625,0,0,-12973.44681
245,0,136,682,2469,3287,2600,7067,0.307205439,0.368646953,0.324147608,0,0,-4259.017502
246,126,1332,1034,6540,9032,2600,12852,0.206194338,0.448038862,0.3457668,0,0,-7471.043214
247,196,143,271,1233,1843,2200,5273,0.027202196,0.025771261,0.947026543,0,0,-5100.501384
248,0,2798,1947,1149,5894,3400,10484,0.36738325,0.357565529,0.275051221,0,0,-6264.716677
249,195,285,550,1861,2891,2600,6691,0.691540133,0.170064915,0.138394952,0,0,-3367.411929
250,0,150,712,1221,2083,3400,6663,0.521671754,0.001480514,0.476847732,0,0,-4268.912447
251,1107,4331,7071,7200,19709,4600,25549,0.626826997,0.009172595,0.364000408,0,0,-21696.17364
252,0,334,455,1692,2481,2600,6261,0.501100346,0.205550382,0.293349272,0,0,-3614.320743
